entity,pagerank,in_strength
Alicks,2.40131e-05,1
Maktone,2.40131e-05,1
Baby Ranks,2.40131e-05,1
Bashy,2.40131e-05,1
Dr. Alimantado,2.40131e-05,1
Fozbee & Cooz,2.40131e-05,1
Secret Stairways,2.40131e-05,1
Starfounder,2.40131e-05,1
Christy Essien Igbokwe,2.40131e-05,1
Tek-One,2.40131e-05,1
Márta Sebestyén,2.40131e-05,1
Joseph Haydn,2.40131e-05,1
Paul J. Smith,2.40131e-05,1
Wedlock,2.40131e-05,1
Roger Miller,2.40131e-05,1
Suntribe,2.40131e-05,1
Gröûp X,2.40131e-05,1
Glow,2.40131e-05,1
Oxmo Puccino,2.40131e-05,1
Stooki Sound,2.40131e-05,1
Clifton Chenier,2.40131e-05,1
Lemon,2.40131e-05,1
Lotte Lenya,2.40131e-05,1
Graham de Wilde,2.40131e-05,1
The Soggy Bottom Boys,2.40131e-05,1
Flittzy,2.40131e-05,1
Nombeko Augustė,2.40131e-05,2
Daniel Behle,2.40131e-05,1
Pashanim,2.40131e-05,1
南春香,2.40131e-05,1
Quench,2.40131e-05,1
Chaquito,2.40131e-05,1
Artie Butler,2.40131e-05,1
Non Phixion,2.40131e-05,1
Apathy Point,2.40131e-05,1
c4rl,2.40131e-05,1
Audio Lotion,2.40131e-05,1
Linda Scott,2.40131e-05,1
角田利之,2.40131e-05,1
Carl Bean,2.40131e-05,1
濁茶,2.40131e-05,1
Latte e miele,2.40131e-05,1
Tati Quebra Barraco,2.40131e-05,1
元田恵美,2.40131e-05,1
The Imperials,2.40131e-05,1
Vulfpeck,2.40131e-05,1
The Acid,2.40131e-05,1
Cem Özel,2.40131e-05,1
The Triffids,2.40131e-05,1
Las Ninyas del Corro,2.40131e-05,1
The Wake,2.40131e-05,1
Nick Drake,2.40131e-05,1
Yoyle Cake,2.40131e-05,1
BurnedKirby,2.40131e-05,1
Arpeggiators,2.40131e-05,1
Zena,2.40131e-05,1
Bandolero,2.40131e-05,1
Dazey and the Scouts,2.40131e-05,1
Kallós Zoltán,2.40131e-05,1
Shandi Sinnamon,2.40131e-05,1
Deep Listening Band,2.40131e-05,1
Meiju Suvas,2.40131e-05,1
Jowan,2.40131e-05,1
1.8.7,2.40131e-05,1
Fog Lake,2.40131e-05,1
Teddy Riley,2.40131e-05,1
Fuad,2.40131e-05,1
Pastel＊Palettes,2.40131e-05,1
Lee Walker,2.40131e-05,1
Alice Peralta,2.40131e-05,1
Solo Andata,2.40131e-05,1
Smooth McGroove,2.40131e-05,1
Chet Baker Quartet,2.40131e-05,2
Jeromy Stuart,2.40131e-05,1
Jago,2.40131e-05,1
Jackie Talon,2.40131e-05,1
Zaki Aman,2.40131e-05,1
Million Stylez,2.40131e-05,1
The Tallest Man on Earth,2.40131e-05,1
ריטה,2.40131e-05,1
Christina Hellström,2.40131e-05,1
Francisco Céspedes,2.40131e-05,1
Hummingbird,2.40131e-05,1
Villy,2.40131e-05,1
Jonathan Toth,2.40131e-05,1
wujiu,2.40131e-05,1
MC Hero,2.40131e-05,1
IAMTHEKIDYOUKNOWWHATIMEAN,2.40131e-05,1
Priscilla Herdman,2.40131e-05,1
電音部 (真新宿GR学園),2.40131e-05,1
Vicarious Visions Audio,2.40131e-05,1
Michael Rice,2.40131e-05,1
Theo Vaness,2.40131e-05,1
TOKINOGAKE,2.40131e-05,1
Captain Murphy,2.40131e-05,1
Laboratorium Pieśni,2.40131e-05,1
Kaminanda,2.40131e-05,1
Donald Glaude,2.40131e-05,1
Wax Poetic,2.40131e-05,1
Knoc‐Turn’Al,2.40131e-05,1
Tractor,2.40131e-05,1
lux natura,2.40131e-05,1
Krezip,2.40131e-05,1
Little Tony,2.40131e-05,1
Sir John Betjeman,2.40131e-05,1
Felix Slatkin,2.40131e-05,1
Jimmie Haskell,2.40131e-05,1
Takumi Toki,2.40131e-05,1
Boomerang,2.40131e-05,1
Tom Elliot,2.40131e-05,1
Magdalena Hinterdobler,2.40131e-05,2
Territoire,2.40131e-05,1
Areru Shegane,2.40131e-05,1
Ocho,2.40131e-05,1
William Parker Orchestra,2.40131e-05,1
The Lyndhurst Orchestra,2.40131e-05,1
Richard Myhill,2.40131e-05,1
Jonas C. Haefeli,2.40131e-05,1
Ike Turner & the Kings of Rhythm,2.40131e-05,1
Memory Man,2.40131e-05,1
Dan Mela & Louie B,2.40131e-05,1
Cerioti,2.40131e-05,1
timey/wimey,2.40131e-05,1
Laura Rivers,2.40131e-05,1
System VIII,2.40131e-05,1
Flugschädel,2.40131e-05,1
Andy T.,2.40131e-05,1
Yakkle,2.40131e-05,1
Oceanic Legion,2.40131e-05,1
Donát Havár,2.40131e-05,1
Elliot Hsu,2.40131e-05,1
Flower S.E. Productions,2.40131e-05,2
橋本由香利,2.40131e-05,1
Drop da Bomb,2.40131e-05,1
LHS,2.40131e-05,1
Harmony Sisters,2.40131e-05,1
荘司朗,2.40131e-05,1
R.B. Hudmon,2.40131e-05,1
Strings of Harmony,2.40131e-05,1
ISSBROKIE,2.40131e-05,1
Baircave,2.40131e-05,1
Snow Banks,2.40131e-05,1
Isaac Schankler,2.40131e-05,1
Pig With the Face of a Boy,2.40131e-05,1
DJ Electrohead,2.40131e-05,1
Hatiras,2.40131e-05,1
McSynth,2.40131e-05,1
DJ Nu‐Mark,2.40131e-05,1
Djuma Soundsystem,2.40131e-05,1
E.U.E.R.P.I,2.40131e-05,1
I.R.I.S,2.40131e-05,1
Plaisir,2.40131e-05,1
Youngstar,2.40131e-05,1
RNX,2.40131e-05,1
505,2.40131e-05,1
Jade Nicole,2.40131e-05,1
Quintino,2.40131e-05,1
HoneyComeBear,2.40131e-05,1
kschzt,2.40131e-05,1
Sami,2.40131e-05,1
watchusdiedotcom,2.40131e-05,1
William Parker Septet,2.40131e-05,1
Sacred Harp Singers of Cork,2.40131e-05,1
Lemma Gebre Hiwot,2.40131e-05,1
Plexus,2.40131e-05,1
Theresa Holzhauser,2.40131e-05,2
Adrian Belew,2.40131e-05,1
Eclipse,2.40131e-05,1
Sydney Youngblood,2.40131e-05,1
Afunakwa,2.40131e-05,1
J.J. Fad,2.40077e-05,3
Felguk,2.40075e-05,4
King of Woolworths,2.40067e-05,1
Taylor Mead,2.40067e-05,1
John Giorno,2.40067e-05,1
Collective Soul,2.40067e-05,2
本多俊之,2.3998e-05,1
Don Miguelo,2.39973e-05,1
Ken-Y,2.39973e-05,1
Cordell 'Scatta' Burrell,2.39973e-05,1
Lamb,2.39887e-05,4
Rahsaan Roland Kirk,2.39803e-05,2
Panda Eyes,2.3977e-05,4
Michael Masser,2.39695e-05,2
Marcos Valle,2.39683e-05,3
The Sindecut,2.39661e-05,2
Pepe Deluxé,2.39661e-05,2
Imperial Brothers,2.39661e-05,2
Newham Generals,2.39469e-05,2
Marc Cohn,2.39292e-05,1
2 Chainz,2.39165e-05,4
Papa Roach,2.39138e-05,18
Pete Rock,2.38944e-05,5
Penguin Cafe Orchestra,2.38864e-05,3
Syzy,2.38823e-05,4
Karen Dalton,2.38808e-05,1
Boyz II Men,2.38653e-05,3
Malcolm X,2.38536e-05,7
ArtAttack,2.38438e-05,4
Hechizeros Band,2.38388e-05,3
Fettes Brot,2.38187e-05,3
Malcolm Brown,2.38141e-05,6
Was (Not Was),2.38085e-05,6
Little Feat,2.38073e-05,3
Pimp C,2.37973e-05,5
Pink Project,2.37962e-05,1
Europe,2.3795e-05,10
Bloodstone,2.37869e-05,2
The Persuaders,2.37817e-05,4
Boston Pops Orchestra,2.37813e-05,2
Obie Trice,2.37664e-05,5
Dave Grusin,2.3749e-05,3
Candido,2.37205e-05,3
Craig David,2.37163e-05,6
Andrew Huo,2.3707e-05,3
Melissa,2.37057e-05,1
Bomb the Bass,2.37036e-05,5
Pulsedriver,2.37025e-05,1
Azzido da Bass,2.36652e-05,3
Lightnin’ Rod,2.36634e-05,3
Boogie Boys,2.36489e-05,3
J.Views,2.36411e-05,1
DJ Jörg,2.36411e-05,1
דודו טסה,2.36411e-05,1
טונה,2.36411e-05,1
Art Pepper,2.36411e-05,1
Cise Star,2.36402e-05,2
The Watts Prophets,2.36389e-05,1
Little Milton,2.3631e-05,1
Dr. Octagon,2.36308e-05,4
Adam Freeland,2.36225e-05,2
Village People,2.36208e-05,11
Charles Wright & the Watts 103rd Street Rhythm Band,2.36121e-05,4
Sandy Rivera,2.36095e-05,1
Mic Geronimo,2.36034e-05,2
Yamasuki,2.36e-05,1
David Sancious,2.36e-05,1
Leon Ndugu Chancler,2.36e-05,1
Koto,2.35936e-05,5
Janko Nilović,2.35889e-05,2
Frost Children,2.35794e-05,5
Tamia,2.35681e-05,3
Dem Franchize Boyz,2.35648e-05,10
Dido,2.35599e-05,9
John Handy,2.35582e-05,2
Niko,2.3555e-05,1
HHH,2.35472e-05,1
NAOKI,2.35472e-05,1
Against the Current,2.35472e-05,1
Patti Jo,2.35472e-05,1
Jeremy McKinnon,2.35472e-05,1
PVRIS,2.35472e-05,1
Chronic Crew,2.35472e-05,1
ZZ Top,2.35464e-05,9
Moi Renee,2.35412e-05,5
Eddie Bo,2.35316e-05,6
Redbone,2.3518e-05,3
Flaming Ember,2.3513e-05,1
Oumou Sangaré,2.35121e-05,3
Burt Bacharach,2.3504e-05,2
Mazzy Star,2.34999e-05,2
MC 900 Ft Jesus,2.34958e-05,1
The Roots,2.34953e-05,11
Sneaker Pimps,2.34913e-05,4
Marilyn Monroe,2.34899e-05,2
Maxwell,2.34816e-05,3
Far East Movement,2.34655e-05,11
Melanie,2.34578e-05,3
Etnica,2.34555e-05,1
Or Kopel,2.34555e-05,1
Natasha Bedingfield,2.34554e-05,6
PLEEG,2.34541e-05,1
Yellowman,2.34459e-05,1
Captain Sky,2.34459e-05,1
Alisha Warren,2.34456e-05,5
Mike Cannon,2.34321e-05,3
Roy,2.34321e-05,3
Die Fantastischen Vier,2.34303e-05,3
Luniz,2.34242e-05,6
OsamaSon,2.34238e-05,3
Salif Keita,2.34141e-05,1
Lil Ugly Mane,2.34103e-05,11
Yaeji,2.34096e-05,2
Joe Sample,2.34082e-05,3
Zeds Dead,2.34081e-05,2
Big Bird,2.33816e-05,2
Steve Cropper,2.3376e-05,2
Steam,2.3376e-05,2
Wet Willie,2.33755e-05,2
Diddy,2.33624e-05,3
Toney Lee,2.33596e-05,5
Jolie Chérie,2.33394e-05,2
Selda Bağcan,2.33391e-05,2
KO3,2.33364e-05,2
The Underdog Project,2.33283e-05,1
Fun Boy Three,2.33283e-05,1
Bobby Vinton,2.33283e-05,1
Doris Day,2.33084e-05,3
Lin‐Manuel Miranda,2.3304e-05,11
Xavier Wulf,2.32943e-05,2
Ripple,2.32943e-05,2
Artefact,2.32854e-05,1
No Authority,2.32854e-05,1
Klangstabil,2.32854e-05,1
黒うさP,2.32741e-05,1
Atlantic Starr,2.3272e-05,3
Wendy Carlos,2.32708e-05,3
Gang of Four,2.32664e-05,2
高橋弘太,2.32391e-05,1
Morbid Angel,2.32326e-05,3
Romanthony,2.32158e-05,3
Diamond and The Psychotic Neurotics,2.32149e-05,3
DJ Doktor Megatrip,2.32144e-05,4
Thomas Wesley,2.31994e-05,2
椛田早紀,2.31953e-05,3
Tha Alkaholiks,2.31937e-05,4
Tom Browne,2.31882e-05,3
Dynamic Corvettes,2.31845e-05,2
The Barrino Brothers,2.31696e-05,2
Country Joe McDonald,2.31675e-05,2
Kool G Rap,2.31672e-05,3
Zulema,2.31634e-05,6
Spiritualized,2.31576e-05,3
Τα 4 Επίπεδα της Ύπαρξης,2.31518e-05,4
Sex Bob‐Omb,2.31479e-05,3
DJ Die,2.3147e-05,7
Kardinal Offishall,2.31321e-05,3
Deceptikon,2.31276e-05,1
オノマトペ大臣,2.31232e-05,1
BREAD & BUTTER,2.31232e-05,1
Joe Cocker,2.31151e-05,3
Antoine Duhamel,2.31047e-05,1
Junior Senior,2.30959e-05,4
Avenged Sevenfold,2.30934e-05,9
unknownsignals,2.309e-05,2
owl＊tree,2.30772e-05,1
Barbara Ann Teer,2.30694e-05,8
Danube Dance,2.30694e-05,8
Michael Franks,2.30637e-05,3
Disjecta,2.30548e-05,1
Slowly,2.30548e-05,1
Edge of Motion,2.30548e-05,1
Push Button Objects,2.30548e-05,1
Lexis,2.30548e-05,1
Impulse,2.30548e-05,1
The Quick Brown Fox,2.30547e-05,2
Russ,2.30547e-05,2
Tinie Tempah,2.30534e-05,5
Super Beagle,2.30512e-05,3
Tag Team,2.30508e-05,6
Modeselektor,2.30378e-05,3
Alwoods,2.3036e-05,3
Front Line Assembly,2.30329e-05,3
Cabaret Voltaire,2.30312e-05,4
Skids,2.30229e-05,1
Phil Harris,2.30198e-05,3
Electric Company,2.30074e-05,1
Cex,2.30074e-05,1
Peggy Gou,2.3005e-05,1
Saweetie,2.29963e-05,2
光吉猛修,2.2989e-05,5
Hugo Montenegro,2.29877e-05,6
Lido,2.29862e-05,9
放課後ティータイム,2.29696e-05,13
Marten Hørger,2.29642e-05,3
Reuben Bell,2.29556e-05,2
APG550,2.29528e-05,1
Shogun,2.29487e-05,2
Neon,2.294e-05,3
Manfred Hübler,2.29388e-05,2
The SCLC Operation Breadbasket Orchestra and Choir,2.29328e-05,2
Elliott Smith,2.29281e-05,3
中川浩二,2.2924e-05,2
Insane Clown Posse,2.29152e-05,6
LOUD,2.29053e-05,1
Zyce,2.29053e-05,1
Prince Royce,2.29053e-05,1
ON3,2.29053e-05,1
Black Moth Super Rainbow,2.29016e-05,4
Kourosh Yaghmaei,2.28984e-05,2
Loverboy,2.28952e-05,2
Brenda Lee,2.28948e-05,2
My Bloody Valentine,2.28944e-05,4
The Masqueraders,2.28896e-05,3
Orson Welles,2.28826e-05,2
Omarion,2.28822e-05,9
Lennie Hibbert,2.28757e-05,2
Gene McDaniels,2.2874e-05,3
DRS,2.28737e-05,1
Peplab,2.28661e-05,2
Rodrigo Amarante,2.28605e-05,1
Tela,2.28605e-05,1
ARTY,2.28558e-05,4
Babe Instinct,2.28548e-05,2
Eric Clapton,2.28487e-05,8
Styles P,2.28428e-05,3
Highway Robbery,2.2842e-05,2
Shane Fahey,2.2842e-05,2
Emil Beaulieau,2.2842e-05,2
武満徹,2.2842e-05,2
CHANG MA,2.28411e-05,1
The Escorts,2.28343e-05,2
Lonnie Gordon,2.28288e-05,2
Mike Zoot,2.28247e-05,1
The Ronettes,2.28235e-05,4
Malique,2.28151e-05,5
Sơn Tùng M-TP,2.28151e-05,2
Rozalla,2.28114e-05,2
Jake Kaufman,2.28101e-05,8
Dobie Gray,2.28101e-05,1
Robbie Williams,2.28019e-05,7
Digable Planets,2.28014e-05,2
Westside Gunn,2.28013e-05,6
Bloody Vomit Bukkake,2.28003e-05,2
John Martyn,2.2798e-05,3
Saint Tropez,2.27978e-05,1
Alien vs. The Cat,2.27879e-05,1
Raja Ram,2.27879e-05,1
Energy 52,2.27879e-05,1
Brand New,2.2784e-05,4
Pegboard Nerds,2.27821e-05,6
Sidewalks and Skeletons,2.27575e-05,3
Babatunde Olatunji,2.27523e-05,2
Claudja Barry,2.27496e-05,2
Santana,2.2742e-05,20
William DeVaughn,2.27391e-05,2
Upercent,2.27347e-05,3
Melvin Van Peebles,2.2731e-05,5
Mutabaruka,2.27229e-05,2
Maynard Ferguson,2.27214e-05,2
Starpoint,2.27194e-05,6
The Black Keys,2.27133e-05,12
David Dundas,2.27095e-05,2
Peter Brown,2.27052e-05,3
Underoath,2.2703e-05,3
Rob $tone,2.26935e-05,1
Lo Key,2.26935e-05,1
MC Money,2.26935e-05,1
Sweet Trip,2.2692e-05,3
Daughter,2.26909e-05,3
Freddie Mercury,2.26869e-05,3
Reverend W.A. Donaldson,2.26748e-05,3
AOA,2.26679e-05,6
Martin Solveig,2.2666e-05,16
Magma,2.26615e-05,1
Papito,2.26615e-05,1
Link Wray & His Raymen,2.26615e-05,1
Rotem Moav,2.26598e-05,1
Enoch Light and the Light Brigade,2.26502e-05,3
Clara La San,2.26439e-05,2
Gawr Gura,2.26439e-05,2
Tones and I,2.26403e-05,7
YOASOBI,2.26359e-05,4
Hot Chip,2.26327e-05,1
Adventures of Stevie V,2.26327e-05,1
The Knife,2.26298e-05,2
Syrinx,2.26259e-05,2
Return to Forever,2.26213e-05,3
G‐Dragon,2.26146e-05,1
Colin Towns,2.26146e-05,1
The Florida Mass Choir,2.26146e-05,1
Bing Crosby,2.25994e-05,2
松枝賀子,2.25973e-05,6
King Curtis,2.25937e-05,2
"Church Universal and Triumphant, Inc.",2.25866e-05,2
Steppenwolf,2.25846e-05,3
NieN,2.25755e-05,2
DJ Duro,2.25755e-05,2
Nina Hagen,2.25755e-05,2
lapix,2.25755e-05,6
Christine Shipp,2.25755e-05,2
Wrecked Machines,2.25755e-05,2
Kiynaria,2.25755e-05,2
竹間淳,2.25755e-05,2
Simon V,2.25755e-05,2
Chris Travis,2.25755e-05,2
Tronikhouse,2.25755e-05,2
Space Cat,2.25755e-05,2
DJ Raisei,2.25755e-05,2
Barely March,2.25755e-05,2
上田雅美,2.25755e-05,2
Archaii,2.25755e-05,2
Kim Gordon,2.25755e-05,2
Nekby,2.25755e-05,2
Hokusai,2.25755e-05,2
Michel Schwalbé,2.25755e-05,4
The Pentangle,2.25717e-05,2
The Temprees,2.25624e-05,2
Goto80,2.2556e-05,1
Jogeir Liljedahl,2.2556e-05,1
Sulumi,2.2556e-05,1
Siskid,2.2556e-05,1
zabutom,2.2556e-05,1
MisfitChris,2.2556e-05,1
花澤香菜,2.25557e-05,3
Deize Tigrona,2.25538e-05,1
Wilcannia Mob,2.25538e-05,1
Parvati Khan,2.25538e-05,1
Kiz,2.25439e-05,1
Judie Tzuke,2.25438e-05,2
Yma Sumac,2.25379e-05,3
Body Power,2.25338e-05,2
Loituma,2.2526e-05,5
The Briefs,2.25133e-05,1
Mary Lattimore,2.25133e-05,1
佐咲紗花,2.2513e-05,3
Mediæval Bæbes,2.25124e-05,3
Krush,2.25063e-05,2
Super Lover Cee & Casanova Rud,2.2465e-05,3
2AM Club,2.24627e-05,2
Vivien Vee,2.24531e-05,1
Jato,2.24531e-05,1
Goldie,2.24394e-05,5
Sweet Mercy,2.24349e-05,3
CHARCOAL FILTER,2.24339e-05,1
mirai,2.24339e-05,1
Mr. Bill,2.243e-05,10
Enrique Iglesias,2.24254e-05,10
The Cars,2.24249e-05,7
Bibio,2.24215e-05,3
Jah Screechy,2.24119e-05,2
Françoise Hardy,2.24088e-05,2
Mighty Ryeders,2.24072e-05,2
Terror Squad,2.24055e-05,5
City Girls,2.2405e-05,4
The Kids,2.23858e-05,3
NAMCO SAMPLING MASTERS,2.23784e-05,6
4hero,2.23742e-05,3
Synthion,2.23737e-05,3
TEMPURA KIDZ,2.23707e-05,6
Sepultura,2.23674e-05,4
Troye Sivan,2.23601e-05,4
Edlan,2.23583e-05,3
Santiano,2.23543e-05,5
Tom Waits,2.23392e-05,3
おおくまけんいち,2.23325e-05,2
Five or Six,2.23195e-05,1
Kate Havnevik,2.23126e-05,2
James Asher,2.23042e-05,8
Raekwon,2.23037e-05,9
Battlefield Band,2.23017e-05,2
Jessie J,2.22966e-05,33
Bobby Williams,2.22911e-05,2
Stevie Hyper‐D,2.22859e-05,1
Pat Metheny,2.22813e-05,5
Tiny Tim,2.22787e-05,4
The Sweet Inspirations,2.22781e-05,3
Reactor,2.22753e-05,1
Bowa,2.22753e-05,1
Nick Ingman,2.22733e-05,2
DJ Dolores,2.22731e-05,3
Ken Nordine,2.22724e-05,2
Michael Flanders and Donald Swann,2.22724e-05,2
Paris,2.22688e-05,5
Koreless,2.22563e-05,1
Nevermind,2.22563e-05,1
Dynoro,2.22561e-05,2
EDDIE,2.22459e-05,17
Supergrass,2.22436e-05,4
Warren G,2.22418e-05,9
weish,2.22407e-05,1
Gloria Barnes,2.22407e-05,1
Gap Mangione,2.22348e-05,1
The 1975,2.22322e-05,10
Adonis,2.22308e-05,2
Amon Tobin,2.22238e-05,17
Silentó,2.22224e-05,7
Boss,2.22161e-05,2
Ultra High Frequency,2.22161e-05,3
The Mystic Moods Orchestra,2.22138e-05,4
Starvue,2.22129e-05,1
Manic Street Preachers,2.22073e-05,1
The Ultraviolet Catastrophe,2.22073e-05,1
The Disco Boys,2.22049e-05,1
Jon B.,2.22033e-05,2
MEDUZA,2.22028e-05,1
Sasha Alex Sloan,2.22028e-05,1
Unclubbed,2.22028e-05,1
The Little Boy Blues,2.22024e-05,2
The Guo Brothers,2.22019e-05,1
Donal Leace,2.21977e-05,2
Bajofondo,2.21976e-05,1
Asha Puthli,2.21858e-05,2
Baccara,2.21856e-05,2
Metronomy,2.21803e-05,5
喜多條敦志,2.21785e-05,1
Laurie Johnson,2.2175e-05,6
sanodg,2.21714e-05,4
Ninajirachi,2.217e-05,2
Gabriel Garzón‐Montano,2.21566e-05,2
Bruno Sanfilippo,2.21566e-05,2
RJD2,2.21495e-05,3
Toni Braxton,2.21433e-05,3
Sheila & B. Devotion,2.21323e-05,1
Dezo Daz,2.21257e-05,1
Aby Ngana Diop,2.21257e-05,1
Kleeer,2.21239e-05,5
NERO,2.21226e-05,7
Amerigo Gazaway,2.2116e-05,4
Mireille Mathieu,2.21077e-05,2
The Intruders,2.20965e-05,4
ILLIT,2.20963e-05,3
Camel,2.20869e-05,2
Young Gunz,2.20864e-05,3
Three Dog Night,2.20863e-05,6
Tim Hecker,2.20862e-05,5
Mameyudoufu,2.20793e-05,5
Dada Life,2.20739e-05,5
Marcia Griffiths,2.20738e-05,1
Blak Twang,2.20738e-05,1
ToonBoy Covers,2.20717e-05,2
Żabson,2.20715e-05,11
Dan Hill,2.20708e-05,1
36,2.20663e-05,2
Martin Circus,2.20623e-05,1
Johnny Moore’s Three Blazers,2.20607e-05,1
Second Layer,2.20559e-05,2
bill bissett,2.20559e-05,2
Lothar and the Hand People,2.20559e-05,2
Aesop Rock,2.20556e-05,6
E.S. Posthumus,2.20527e-05,3
Tone,2.20457e-05,1
National Percussion Group of Kenya,2.20405e-05,3
The Kingsmen,2.20405e-05,3
Rednex,2.2036e-05,5
The 2 Bears,2.20359e-05,1
Kilians,2.20323e-05,1
やなぎなぎ,2.20319e-05,3
Goodie Mob,2.20274e-05,2
Blue Boy,2.20241e-05,1
Drumattic Twins,2.20241e-05,1
Davy DMX,2.20115e-05,2
Gramatik,2.20107e-05,3
die!!die!!color!!!,2.20077e-05,2
Soul Mann & The Brothers,2.20073e-05,1
Sway,2.20038e-05,1
Conexion,2.20038e-05,1
Thi'sl,2.19997e-05,3
Gilbert O’Sullivan,2.19979e-05,1
Lords of Acid,2.19963e-05,1
Freddie Gibbs,2.19884e-05,6
Burgess Meredith,2.19876e-05,1
Agnetha Fältskog,2.19867e-05,1
Anita Meyer,2.19867e-05,1
Natural Born Chillers,2.19857e-05,2
Auto‐Auto,2.19832e-05,1
アイラミツキ,2.19832e-05,1
Client,2.19832e-05,1
Rampage,2.19819e-05,2
Monty Norman,2.19806e-05,1
Daddy‐O,2.19806e-05,1
Grand Wizzard Theodore,2.19776e-05,5
Young Robbery,2.19723e-05,1
Act 1,2.19647e-05,1
Andain,2.19596e-05,2
WALK THE MOON,2.19519e-05,9
Washington Phillips,2.1951e-05,1
Metro Station,2.19491e-05,4
J.J. Cale,2.19488e-05,2
Audion,2.19488e-05,1
遠山明孝,2.19459e-05,5
Jamie Foxx,2.19437e-05,4
The Dap‐Kings,2.19357e-05,5
DotEXE,2.19311e-05,1
Project 46,2.19311e-05,1
SuryaDemaH,2.19302e-05,1
Bone Crusher,2.19252e-05,4
travongle,2.1915e-05,1
Nova Local,2.19106e-05,1
The Sven Libæk Orchestra,2.19106e-05,1
John Legend,2.19103e-05,4
FPI Project,2.19021e-05,2
Matt Uelmen,2.1899e-05,6
Pete Seeger,2.18872e-05,1
Elkie Brooks,2.18872e-05,1
The Pyramids,2.18872e-05,1
西木野真姫,2.18806e-05,6
タンポポ,2.18778e-05,1
Veell,2.18778e-05,1
Torch,2.18738e-05,2
Mike Longo,2.18723e-05,4
Ebo Taylor,2.18712e-05,1
Mike Posner,2.18695e-05,11
John Cacavas,2.18648e-05,1
Virgin Stigma,2.18648e-05,1
Mackenzies,2.18648e-05,1
Chris Hülsbeck,2.18593e-05,1
Pete Lazonby,2.18593e-05,1
Ultra-Sonic,2.18593e-05,1
Mike Post,2.18592e-05,3
Negativland,2.18564e-05,2
Barbara Lynn,2.18549e-05,2
Lizzy Mercier Descloux,2.18541e-05,2
Debra Laws,2.18499e-05,2
Twista,2.18496e-05,15
The Drifters,2.18449e-05,3
Blackbird Blackbird,2.18349e-05,2
Kyrstyn Pixton,2.18303e-05,2
Quixotic,2.18303e-05,2
GQ,2.18285e-05,2
Carleen & the Groovers,2.18256e-05,1
Birds ’n’ Brass,2.18256e-05,1
Blaze,2.18254e-05,2
i_o,2.18176e-05,15
face to face,2.18157e-05,1
KH,2.18157e-05,1
Olive,2.18132e-05,4
John Murphy,2.18111e-05,6
Morgin Madison,2.18073e-05,15
Francine McGee,2.18067e-05,1
vze,2.18062e-05,3
Living Colour,2.18048e-05,2
Agnes Obel,2.17991e-05,2
The Gabriel Hardeman Delegation,2.17989e-05,2
東方神起,2.17984e-05,1
Wolfgang Dauner Quintet,2.17984e-05,1
Deichkind,2.17957e-05,7
MC Serch,2.17943e-05,1
Mahalia Jackson,2.17943e-05,1
Chuck Brown,2.17943e-05,1
Easy Mo Bee,2.17943e-05,1
The John Barry Seven,2.17939e-05,1
Ellen McIlwaine,2.17939e-05,1
Lulu,2.17939e-05,1
The Olympics,2.17939e-05,1
Ann Robinson,2.17939e-05,1
Andre Williams,2.17939e-05,1
Five Man Electrical Band,2.17939e-05,1
Jestofunk,2.17939e-05,1
The Purple Fox,2.17939e-05,1
Fuzzy Haskins,2.17939e-05,1
Shel Silverstein,2.17939e-05,1
Thomas Mapfumo & The Blacks Unlimited,2.17909e-05,1
Botch,2.17839e-05,1
JiNG*da*LaW,2.17775e-05,1
Primus,2.17687e-05,3
The Cool Kids,2.17659e-05,4
Paul Oakenfold,2.17646e-05,3
Joey Purp,2.17594e-05,2
Echo & the Bunnymen,2.1754e-05,3
Jermaine Stewart,2.1752e-05,1
King,2.1752e-05,1
Beginner,2.17515e-05,2
Badawi,2.17479e-05,2
Jon Gibson,2.17454e-05,3
Outsidaz,2.17442e-05,2
Shabaam Sahdeeq,2.17442e-05,2
Old World Disorder,2.17442e-05,2
やまだ豊,2.17442e-05,2
Animal Collective,2.17416e-05,4
The Muel,2.17381e-05,1
Ijahman Levi,2.17381e-05,1
Lil Wyte,2.17364e-05,1
Dariush Eghbali,2.17364e-05,1
Klaypex,2.17364e-05,1
Veronica Petrucci,2.17364e-05,1
Christopher Williams,2.17298e-05,1
HearThuG,2.17276e-05,3
Chelsea Wolfe,2.1726e-05,2
Seeed,2.1725e-05,7
Random Rab,2.17237e-05,2
Buster Williams,2.17171e-05,3
King Oliver and His Creole Jazz Band,2.1716e-05,2
T-Ski Valley,2.17151e-05,3
Milli Vanilli,2.17109e-05,2
Claude François,2.17072e-05,3
Elvis Costello & The Attractions,2.17025e-05,2
Aphrodite’s Child,2.1695e-05,4
Stephen Warbeck,2.16948e-05,1
Luther Ingram,2.169e-05,3
SebastiAn,2.16866e-05,11
David Michael,2.16844e-05,1
Escala,2.16844e-05,1
Rhydian,2.16844e-05,1
Anamanaguchi,2.16831e-05,3
Paul McCartney,2.16816e-05,9
Yolanda Be Cool,2.16814e-05,7
Meat Loaf,2.16703e-05,2
Big Time Rush,2.16698e-05,11
The Skatalites,2.1667e-05,1
The Washboard Rhythm Kings,2.16666e-05,2
Echosmith,2.16638e-05,3
仲野順也,2.16622e-05,13
Black Coast,2.16491e-05,2
Al B. Sure!,2.16458e-05,3
B. Ames,2.16433e-05,1
